,Karisuma 14,SMASHADELPHIA 2017,ALPHA,Midwest Mayhem 9,Umebura 27,UNLOCKED,Albion 2,TGL Presents: Divided,2GGC: Arms Saga,Evo 2017,DreamHack Atlanta 2017,Get On My Level 2017,IGX - International Gaming Expo,Low Tier City 5,Smash Factor 6,Sumabato 19,Umebura 28,Super Smash Con 2017,2GGC: SCR Saga,Dubai Dojo 2,Shine 2017,PAX Arena at PAX West 2017,2GGC: West Side Saga,DreamHack Montreal 2017,Showdown: Battle Royale 2,Sumabato 20,Syndicate 2017,GameTyrant Expo 2017,The Big House 7,2GGC: Fire Emblem Saga,Sumabato 21,DreamHack Denver 2017,Who's Your Pappy #10,Umebura 29,Canada Cup 2017,Clutch City Clash 2,TGL & PG Present: Too Hot to Handle,2GGC: MkLeo Saga,GatorLAN Fall 2017,Port Priority 2: Midwest Invasion,IBP Masters Showdown,Sumabato 22,Umebura 30,Super FamiCon 2017,Tech Republic III,Midwest Mayhem 10,Rikabura 8,2GGC: Last Chance Qualifier,2GG Championship
Cacogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5th,,,,,,,,,
JFK,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,
Horse,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brood,,,,,,,,,,,,,,,,,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,
Hide,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crazycolorz5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,
K0rean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25th,,,,,,,,
Nicko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,7th,,,,,,,,,,,,,
Illusion,,,,,,,,,,,,,,9th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheen,,,,13th,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,
DeKu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,
Lickey?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,,,,
Hero,,,,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5th,,,,
Ke-ya,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rain,,,,,,,,,,,,,,,,,2nd,,,,,,,,,,,,,,,,,5th,,,,,,,,,,,,,,,
Yuzu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,,,,,,,,,,,,,,,
MisterMan,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shu,,,,,,,,,,,,,,,,,5th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MagiMagi,,,,,,,3rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth,,,,13th,,,,,,,,,,,,,,25th,,,,,,,,,,,,,,,,,,,,,,,,,,,,9th,,,
Ozone,,,,,,,,,,,,,,,,,,,,,,,,,,,,49th,49th,,,,,,,,,,,,,,,,,,,,
BaSK 3xA,,,,,,,,,,,,,,,,,,,,,,,,,,,,33rd,,,,,,,,,,49th,,,,,,,,,,,
smasher1001,,,,,,,,,,,,,,,,,,49th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
